"Animal #","Row","Column","Arc Length","Poly2_RSS","Poly3_RSS","Poly23_RSS","Poly234_RSS","Poly2345_RSS","Frac_beta_whisker","Frac_coef","Frac_RSS","Elliptical_RSS","Cesaro_A","Cesaro_B","Cesaro_RSS",,
3,2,6,8.6188,0.51403,0.35011,0.0059426,0.0028548,0.007351,2.4964,0.0041701,0.0022038,0.01108,0.0066654,0.032462,0.06175,,
3,3,1,65.347,1051.2,70.394,18.791,33.857,68.757,3.4158,2.82E-05,20.234,290.56,0.00032923,7.74E-05,177.14,,
3,3,2,71.204,1273.4,163.59,50.089,3.804,2.1199,4.0991,1.59E-05,8.7932,230.26,0.00028614,-0.0011369,12.916,,
3,3,3,61.755,1474.9,428.68,78.333,1.4368,0.5068,5.4016,2.12E-05,0.65134,574.07,0.00049984,-0.0036377,19.262,,
3,3,4,44.353,637.8,242,26.308,2.0236,2.1808,6.3633,4.10E-05,5.5917,229.09,0.0010727,-0.0069572,12.476,,
3,3,5,21.037,16.578,4.4211,0.34073,0.12028,0.11911,3.796,0.00014336,0.75406,6.096,0.0023539,-0.0054329,0.72661,,
3,3,6,11.621,3.7842,0.090614,0.052625,0.062902,0.0034647,3.09,0.0035017,0.056587,1.7175,0.0051701,0.03613,0.70206,,
3,4,1,64.233,2107.6,539.86,28.091,7.6161,23.109,4.7099,2.80E-05,3.7811,561.04,0.00046042,-0.0015693,93.136,,
3,4,2,56.293,2284,934.01,262.77,69.577,45.312,6.9338,4.44E-05,43.679,792.93,0.00079377,-0.0044185,22.956,,
3,4,3,31.145,11.143,12.939,4.4921,0.40392,0.39116,2.3466,0.00018064,1.0771,11.84,0.00026749,0.0132,10.738,,
3,4,4,31.186,101.26,13.586,1.1982,0.90425,0.8287,3.7432,0.00010339,2.375,27.813,0.0014374,-0.002987,5.7865,,
3,4,5,17.103,13.169,0.67251,0.66875,0.3916,0.0099583,3.1729,0.0010599,0.4572,1.0588,0.0030326,0.018022,0.69482,,
3,5,1,14.671,2.3657,1.6552,1.0817,0.24498,0.11271,2.5791,0.00095271,0.80363,1.4995,0.0019308,0.020134,1.5739,,
3,5,2,21.833,58.369,14.473,0.43709,0.44132,0.34561,4.5273,0.00028045,0.75972,21.748,0.0038217,-0.0087377,1.5116,,
3,5,3,21.71,4.4996,7.019,2.4301,0.19548,0.017715,2.2641,0.0005925,0.38501,2.7229,3.39E-05,0.026018,4.6221,,
3,5,4,15.952,1.5484,5.3589,0.66,0.15704,0.17103,2.1937,0.00088672,0.43324,1.2688,0.00015973,0.026816,1.1312,,
